"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/16/2002","39","","Costa Mesa","06-059-1003","AQS"
"12/17/2002","40","","Costa Mesa","06-059-1003","AQS"
"12/18/2002","36","","Santa Clarita","06-037-6012","AQS"
"12/19/2002","34","","Santa Clarita","06-037-6012","AQS"
"12/20/2002","38","","West Los Angeles","06-037-0113","AQS"
"12/21/2002","33","","Costa Mesa","06-059-1003","AQS"
"12/22/2002","40","","Santa Clarita","06-037-6012","AQS"
"12/23/2002","36","","Santa Clarita","06-037-6012","AQS"
"12/24/2002","32","","Costa Mesa","06-059-1003","AQS"
"12/25/2002","33","","Azusa","06-037-0002","AQS"
"12/26/2002","26","","Santa Clarita","06-037-6012","AQS"
"12/27/2002","26","","West Los Angeles","06-037-0113","AQS"
"12/28/2002","37","","Lancaster-Division Street","06-037-9033","AQS"
"12/29/2002","37","","West Los Angeles","06-037-0113","AQS"
"12/30/2002","31","","Lancaster-Division Street","06-037-9033","AQS"
"12/31/2002","33","","Reseda","06-037-1201","AQS"
"01/01/2003","42","","Santa Clarita","06-037-6012","AQS"
"01/02/2003","36","","Santa Clarita","06-037-6012","AQS"
"01/03/2003","31","","Santa Clarita","06-037-6012","AQS"
"01/04/2003","31","","Azusa","06-037-0002","AQS"
"01/05/2003","43","","Azusa","06-037-0002","AQS"
"01/06/2003","43","","Azusa","06-037-0002","AQS"
"01/07/2003","43","","Santa Clarita","06-037-6012","AQS"
"01/08/2003","27","","Mission Viejo","06-059-2022","AQS"
"01/09/2003","34","","Costa Mesa","06-059-1003","AQS"
"01/10/2003","26","","Lancaster-Division Street","06-037-9033","AQS"
"01/11/2003","28","","Lancaster-Division Street","06-037-9033","AQS"
"01/12/2003","31","","Santa Clarita","06-037-6012","AQS"
"01/13/2003","28","","Santa Clarita","06-037-6012","AQS"
"01/14/2003","19","","Lancaster-Division Street","06-037-9033","AQS"
"01/15/2003","43","","Santa Clarita","06-037-6012","AQS"
"01/16/2003","39","","Santa Clarita","06-037-6012","AQS"
"01/17/2003","34","","Santa Clarita","06-037-6012","AQS"
"01/18/2003","31","","Santa Clarita","06-037-6012","AQS"
"01/19/2003","40","","Costa Mesa","06-059-1003","AQS"
"01/20/2003","43","","West Los Angeles","06-037-0113","AQS"
"01/21/2003","40","","West Los Angeles","06-037-0113","AQS"
"01/22/2003","25","","West Los Angeles","06-037-0113","AQS"
"01/23/2003","20","","Santa Clarita","06-037-6012","AQS"
"01/24/2003","35","","Santa Clarita","06-037-6012","AQS"
"01/25/2003","39","","Santa Clarita","06-037-6012","AQS"
"01/26/2003","41","","West Los Angeles","06-037-0113","AQS"
"01/27/2003","31","","Lancaster-Division Street","06-037-9033","AQS"
